idx	text_left	text_right	label
0	web caching for database applications with oracle web cache jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu sigmod conference 2002	form-based proxy caching for database-backed web sites qiong luo , jeffrey f. naughton very large data bases 2001	0
1	oracle industrial exhibit amy pogue vldb 1998	objectivity industrial exhibit objectivity very large data bases 1998	0
2	extracting large-scale knowledge bases from the web andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan vldb 1999	amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ) 1994	0
3	efficient optimistic concurrency control using loosely synchronized clocks barbara liskov , atul adya , robert gruber , umesh maheshwari sigmod conference 1995	efficient optimistic concurrency control using loosely synchronized clocks atul adya , robert gruber , barbara liskov , umesh maheshwari international conference on management of data 1995	1
4	odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb 1994	unisql/x unified relational and object-oriented database system won kim international conference on management of data 1994	0
5	emergent semantics and the multimedia semantic web william i. grosky , farshad fotouhi , d. v. sreenath sigmod record 2002	emergent semantics and the multimedia semantic web w. i. grosky , d. v. sreenath , f. fotouhi acm sigmod record 2002	1
6	dwms : data warehouse management system narendra mohan vldb 1996	strudel : a web site management system mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu international conference on management of data 1997	0
7	data mining techniques jiawei han sigmod conference 1996	data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf &#225; s mat &#237; n acm sigmod record 2002	0
8	qursed : querying and reporting semistructured data yannis papakonstantinou , michalis petropoulos , vasilis vassalos sigmod conference 2002	extracting schema from semistructured data svetlozar nestorov , serge abiteboul , rajeev motwani international conference on management of data 1998	0
9	advances in databases and information systems ( adbis ) albertas caplinskas , johann eder , olegas vasilecas sigmod record 2002	amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record 2002	0
10	query unnesting in object-oriented databases leonidas fegaras sigmod conference 1998	calibrating the query optimizer cost model of iro-db , an object-oriented federated database system georges gardarin , fei sha , zhao-hui tang very large data bases 1996	0
11	data management for pervasive computing mitch cherniack , stanley b. zdonik , michael j. franklin vldb 2001	data management for pervasive computing mitch cherniack , michael j. franklin , stanley b. zdonik very large data bases 2001	1
12	secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference 1997	databases and transaction processing : an application-oriented approach philip m. lewis , arthur bernstein , michael kifer acm sigmod record 2002	0
13	declarative updates of relational databases weidong chen acm trans . database syst . 1995	enhanced abstract data types in object-relational databases praveen seshadri the vldb journal -- the international journal on very large data bases 1998	0
14	a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier acm trans . database syst . 1994	a taxonomy for secure object-oriented databases martin s. olivier , sebastiaan h. von solms acm transactions on database systems ( tods ) 1994	1
15	what is the data warehousing problem ? ( are materialized views the answer ? ) inderpal singh mumick , ashish gupta vldb 1996	algorithms for materialized view design in data warehousing environment jian yang , kamalakar karlapalem , qing li very large data bases 1997	0
16	enterprise objects framework , a second generation object-relational enabler charly kleissner sigmod conference 1995	enterprise objects framework : a second generation object-relational enabler charly kleissner international conference on management of data 1995	1
17	effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000	priority assignment in real-time active databases rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham the vldb journal -- the international journal on very large data bases 1996	0
18	lambda-db : an odmg-based object-oriented dbms arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan sigmod conference 2000	odmg-93 : a standard for object-oriented dbmss r. g. g. cattell international conference on management of data 1994	0
19	compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek r. narasayya sigmod conference 2002	compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek narasayya international conference on management of data 2002	1
20	the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali sigmod conference 1995	the trigs active object-oriented database system - an overview g. kappel , w. retschitzegger acm sigmod record 1998	0
21	on wrapping query languages and efficient xml integration jérôme siméon , vassilis christophides , sophie cluet sigmod conference 2000	on wrapping query languages and efficient xml integration vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on international conference on management of data 2000	1
22	document management as a database problem rudolf bayer vldb 1995	is web-site management a database problem ? daniela florescu , alon y. levy , dan suciu very large data bases 1998	0
23	index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan vldb j. 1996	converting relational to object-oriented databases joseph fong acm sigmod record 1997	0
24	controlling data warehouses with knowledge networks jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer vldb 2000	controlling data warehouses with knowledge networks elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke very large data bases 2000	1
25	temporal database system implementations michael h. böhlen sigmod record 1995	temporal conditions and integrity constraints in active database systems a. prasad sistla , ouri wolfson international conference on management of data 1995	0
26	ansi sql hierarchical processing can fully integrate native xml michael m. david sigmod record 2003	ansi sql hierarchical processing can fully integrate native xml michael m. david acm sigmod record 2003	1
27	warping indexes with envelope transforms for query by humming dennis shasha , yunyue zhu sigmod conference 2003	warping indexes with envelope transforms for query by humming yunyue zhu , dennis shasha international conference on management of data 2003	1
28	reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross sigmod record 2002	influential papers ken ross acm sigmod record 2002	0
29	database research at ut arlington sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh sigmod record 2003	database research at arizona state university susan d. urban , suzanne w. dietrich , forouzan golshani acm sigmod record 1996	0
30	lore : a database management system for semistructured data roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh sigmod record 1997	dwms : data warehouse management system narendra mohan very large data bases 1996	0
31	discover : keyword search in relational databases vagelis hristidis , yannis papakonstantinou vldb 2002	converting relational to object-oriented databases joseph fong acm sigmod record 1997	0
32	incremental computation and maintenance of temporal aggregates jun yang , jennifer widom vldb j. 2003	incremental maintenance of recursive views using relational calculus/sql guozhu dong , jianwen su acm sigmod record 2000	0
33	procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi vldb 1995	an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994	0
34	opossum : desk-top schema management through customizable visualization miron livny , eben m. haber , yannis e. ioannidis vldb 1995	opossum : desk-top schema management through customizable visualization eben m. haber , yannis e. ioannidis , miron livny very large data bases 1995	1
35	dms : a parallel data mining server felicity a. w. george vldb 1998	scalable parallel data mining for association rules eui-hong han , george karypis , vipin kumar international conference on management of data 1997	0
36	naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet vldb 1994	naos - efficient and modular reactive capabilities in an object-oriented database system christine collet , thierry coupaye , t. svensen very large data bases 1994	1
37	user-adaptive exploration of multidimensional data sunita sarawagi vldb 2000	a foundation for multi-dimensional databases marc gyssens , laks v. s. lakshmanan very large data bases 1997	0
38	a query language for multidimensional arrays : design , implementation , and optimization techniques limsoon wong , rona machlin , leonid libkin sigmod conference 1996	a query language for multidimensional arrays : design , implementation , and optimization techniques leonid libkin , rona machlin , limsoon wong international conference on management of data 1996	1
39	comprehension syntax limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin sigmod record 1994	comprehension syntax peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong acm sigmod record 1994	1
40	buffering accesses to memory-resident index structures jingren zhou , kenneth a. ross vldb 2003	efficient index structures for string databases tamer kahveci , ambuj k. singh very large data bases 2001	0
41	secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference 1997	revisiting commit processing in distributed database systems ramesh gupta , jayant haritsa , krithi ramamritham international conference on management of data 1997	0
42	semint : a system prototype for semantic integration in heterogeneous databases wen-syan li , chris clifton sigmod conference 1995	a scalable architecture for autonomous heterogeneous database interactions steven milliner , athman bouguettaya , mike p. papazoglou very large data bases 1995	0
43	mining system audit data : opportunities and challenges wei fan , wenke lee sigmod record 2001	amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record 2002	0
44	sit-in : a real-life spatio-temporal information system stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi vldb 2001	environmental information systems oliver g &#252; nther acm sigmod record 1997	0
45	partial results for online query processing joseph m. hellerstein , vijayshankar raman sigmod conference 2002	sequence query processing praveen seshadri , miron livny , raghu ramakrishnan international conference on management of data 1994	0
46	beyond market baskets : generalizing association rules to correlations rajeev motwani , sergey brin , craig silverstein sigmod conference 1997	beyond market baskets : generalizing association rules to correlations sergey brin , rajeev motwani , craig silverstein international conference on management of data 1997	1
47	tracing the lineage of view data in a warehousing environment janet l. wiener , yingwei cui , jennifer widom acm trans . database syst . 2000	lineage tracing for general data warehouse transformations yingwei cui , jennifer widom very large data bases 2001	0
48	editorial peter m. g. apers , stefano ceri , richard t. snodgrass vldb j. 2002	editorial richard snodgrass acm transactions on database systems ( tods ) 2001	0
49	mining fuzzy association rules in databases ada wai-chee fu , man hon wong , chan man kuok sigmod record 1998	a new sql-like operator for mining association rules rosa meo , giuseppe psaila , stefano ceri very large data bases 1996	0
50	query optimization in the presence of limited access patterns dan suciu , ioana manolescu , daniela florescu , alon y. levy sigmod conference 1999	minimization of tree pattern queries sihem amer-yahia , sungran cho , laks v. s. lakshmanan , divesh srivastava international conference on management of data 2001	0
51	query optimization for selections using bitmaps ming-chuan wu sigmod conference 1999	query optimization in compressed database systems zhiyuan chen , johannes gehrke , flip korn international conference on management of data 2001	0
52	reminiscences on influential papers christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross sigmod record 2000	reminiscences on influential papers kenneth a. ross acm sigmod record 2003	0
53	user-defined table operators : enhancing extensibility for ordbms bernhard mitschang , michael jaedicke vldb 1999	user-defined table operators : enhancing extensibility for ordbms michael jaedicke , bernhard mitschang very large data bases 1999	1
54	distance browsing in spatial databases hanan samet , gísli r. hjaltason acm trans . database syst . 1999	selectivity estimation in spatial databases swarup acharya , viswanath poosala , sridhar ramaswamy international conference on management of data 1999	0
55	answering xml queries on heterogeneous data sources ioana manolescu , donald kossmann , daniela florescu vldb 2001	describing and using query capabilities of heterogeneous sources vasilis vassalos , yannis papakonstantinou very large data bases 1997	0
56	index configuration in object-oriented databases elisa bertino vldb j. 1994	a cost model for clustered object-oriented databases georges gardarin , jean-robert gruser , zhao-hui tang very large data bases 1995	0
57	reminiscences on influential papers z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens sigmod record 1998	influential papers ken ross acm sigmod record 2002	0
