idx	text_left	text_right	label
0	microsoft visio standard 2007 version upgrade microsoft 129.95	adobe cs3 design standard upgrade 413.99	0
1	microsoft mappoint 2006 with gps microsoft 349.0	microsoft student with encarta premium 2008 complete package 43.6	0
2	adobe after effects professional 7.0 adobe 999.0	adobe flash cs3 professional ( mac ) 699.0	0
3	motu digital performer 5 digital audio software competitive upgrade ( mac only ) motu 395.0	motu digital performer dp5 software music production software 319.95	1
4	illustrator cs3 13 mac ed 1u adobe-education-box 199.0	adobe illustrator cs3 for mac academic adobe-education-box 199.99	1
5	quickbooks premier non-profit edition 2005 intuit inc. 499.95	quickbooks ( r ) 199.99	0
6	mavis beacon typing 17 ( win/mac ) encore software 19.99	broderbund mavis beacon teaches typing standard17 22.99	0
7	adobe premiere pro cs3 adobe 799.0	adobe soundbooth cs3 academic 95.99	0
8	adobe photoshop cs2 advanced techniques by julieanne kost software cinema	adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488 537.65	0
9	reader rabbit learning system 1st grade encore software 29.99	dr. seuss reading learning system 2008 encore 19.95	0
10	adobe premiere pro cs3 upgrade adobe 299.0	adobe cs3 design premium 1865.99	0
11	punch ! home design architectural series 18 punch ! software 129.99	punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc 45.97	0
12	3d home architect landscape designer v8 encore software 29.99	encore inc 3d home architect home design deluxe version 9 25.49	0
13	microsoft crm professional cal 3.0 product upgrade license pack user cal microsoft software 9980.0	c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20 9676.92	0
14	microsoft office frontpage 2003 academic version windows ) microsoft 159.98	microsoft windows vista business full version 249.95	0
15	adobe creative suite cs3 web standard adobe 999.0	adobe creative suite 3 web standard complete package academic cd mac 369.0	0
16	printmaster gold v 17.0 encore software 19.99	print master platinum v17 29.9	0
17	microsoft windows xp professional full version with sp2 microsoft 299.99	adobe production premium cs3 software suite for windows professional editing software 1698.95	0
18	microsoft licenses win svr 2003 ext conn lic ( r3900292 ) microsoft licenses 3371.85	microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ) 719.04	0
19	microsoft office & windows training professional topics entertainment 49.95	adobe after effects cs3 professional software for windows effects software 998.95	0
20	dk smart steps 3rd grade global-software-publishing 9.99	smart steps 4th grade ( jc ) dorling-kindersley-multimedia - ( dk ) 11.95	0
21	microsoft office small business 2007 full version microsoft 449.95	microsoft office 2004 std upgrade 219.99	0
22	best of card games ( jewel case ) on-hand-software 9.99	geometry ( win/mac ) ( jewel case ) ( 10158 ) 9.59	0
23	instant immersion german audio topics entertainment	topics entertainment instant immersion italian 2.0 17.55	0
24	microsoft powerpoint 2004 upgrade ( mac ) microsoft 109.99	microsoft ( r ) money 2004 standard 29.99	0
25	onone software pxl smartscale windows and macintosh ) onone software	onone software inc. mpr-40212 onone software inc. 66.27	0
26	microsoft visual studio team edition for software developers 2005 with msdn premium microsoft 5479.0	visual studio pro 2005 upgrade ( pc ) microsoft 549.0	0
27	microsoft word 2007 version upgrade microsoft 109.95	microsoft word 2007 upgrade ( pc ) 109.95	1
28	microsoft word 2007 version upgrade microsoft 109.95	word mac 2004 upgrade microsoft d48-00488 97.36	0
29	adobe dreamweaver cs3 upgrade [ mac ] adobe 199.0	adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac 859.96	0
30	hoyle : classic collection 2006 encore 19.99	encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp 18.97	1
31	adobe indesign cs3 upgrade from pagemaker [ mac ] adobe 199.0	adobe cs3 design premium academic 575.99	0
32	midway arcade treasures ( jewel case ) encore software 9.99	cross stitch design studio ( jewel case ) ( 8006 ) m-and-r-technologies 9.59	0
33	digital vault stompsoft inc. 29.99	digital video & audio prod book sony-pictures-digital-entertainment 27.5	0
34	microsoft windows vista business full version [ dvd ] microsoft 299.95	microsoft powerpoint mac 2004 version upgrade 89.99	0
35	zero-g pro pack for garageband ( appleloops ) zero-g 169.95	apple garageband jam pack : symphony orchestra 95.99	0
36	microsoft asp net web matrix microsoft 30.0	microsoft ( r ) word 2007 109.99	0
37	instant immersion german deluxe 2.0 topics entertainment 39.99	instant immersion japanese 2.0 22.43	0
38	punch ! professional home design platinum v10 punch ! software 99.0	punch software 41100 punch ! home design architectural series 18 punch software 118.99	0
39	instant immersion german deluxe 2.0 topics entertainment 39.99	instant immers french dlx 2 27.57	0
40	adobe creative suite cs3 design standard [ mac ] adobe 1199.0	19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ 1691.87	0
41	microsoft crm small business ed cal 3.0 license pack user cal microsoft software 9929.0	r18-00144 microsoft windows server license & software assurance 1 cal open business 41.58	0
42	digidesign music production toolkit ( pro tools le ) digidesign 495.0	apple/emagic logic pro 7.2 software music production software 999.0	0
43	adobe creative suite cs3 master collection upsell adobe 1999.0	adobe cs3 after effects 1025.99	0
44	hoyle kids ' games jc encore 9.99	hoyle card games 9.95	0
45	net ad creator laughing bird 39.99	laughingbird the logo creator 34.99	0
46	reel deal slots 2.0 for pc phantom efx 9.99	phantom efx reel deal slots v 2.0 7.36	1
47	adobe creative suite cs3 web standard [ mac ] adobe 999.0	adobe production premium cs3 software suite for mac av production software 1698.95	0
48	adobe creative suite cs3 design premium upsell [ mac ] adobe 1599.0	19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ 1691.87	0
49	windows vista business spanish full version [ dvd ] microsoft 329.95	microsoft windows vista business full version 249.95	0
50	quickbooks pos : pro multistore 6.0 intuit inc. 1399.95	quickbooks ( r ) pro 2007 edition 3-user 499.99	0
51	microsoft office mac 2004 english 3pk dsp 731-01163 ) microsoft corporation	microsoft ( r ) office word 2004 for mac full version 231.29	0
52	instant immersion spanish deluxe 2.0 topics entertainment 49.99	instant immersion italian 2.0 topics entertainment 20.99	0
53	adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ) adobe software 273.0	adobe acrobat v8 .0 professional for mac 405.99	0
54	apple final cut studio 2 ( mac ) apple 1299.0	adobe flash cs3 professional ( mac ) 699.0	0
55	reference success deluxe 2006 topics entertainment 49.95	high school success deluxe 2006 7.9	0
56	microsoft windows vista business 32-bit for system builders microsoft 179.99	microsoft ( r ) windows vista ( tm ) home basic 99.99	0
57	microsoft visual studio professional 2005 upgrade microsoft software 549.0	microsoft ( r ) excel 2007 109.99	0
58	peachtree by sage premium accounting 2007 sage software 499.99	sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007 590.35	0
59	adobe creative suite cs3 production premium adobe 1699.0	adobe cs3 production premium upgrade 822.99	0
60	microsoft sql server developer edition 2005 cd/dvd microsoft software 49.95	395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server 6594.2	0
61	computrace lojack for laptops 1 year license ( mac ) absolute software 49.95	lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m 39.95	0
62	valuesoft tune transfer for ipod software for windows xp valuesoft 29.95	pinnacle mobile media converter software for windows ipod software 29.95	0
63	sibelius 4 professional edition sibelius-software-ltd . 599.99	sibelius sibelius 5 software music production software sibelius-software-ltd . 449.95	0
64	microsoft entertainment pack ce microsoft 49.5	entertainment partners ep budgeting for film 415.99	0
65	adobe premiere pro 2.0 adobe 849.0	premiere pro cs3 mac upgrade 320.25	0
66	microsoft office small business 2007 microsoft software 735.33	microsoft windows vista business retail no open box returns 299.99	0
67	world of rainbow fish global-software-publishing 19.99	world of rainbow fish ( a9839m2h ) global-software-publishing 19.19	1
68	mcafee internet security suite 2007 3 users mcafee 89.99	f-secure internet security 2007 3 pcs ( global marketing partners ) global-marketing-partners 63.35	0
69	sonicwall gms standard edition 10 node license sonicwall	01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript 2124.92	0
70	microsoft windows vista ultimate full version [ dvd ] microsoft 399.95	microsoft ( r ) windows vista ( tm ) home premium 239.99	0
71	irispen express translator iris 149.99	iris inc irispen express translator 142.29	1
72	microsoft office 2004 standard upgrade ( mac ) microsoft 239.99	microsoft mappoint 2006 with gps locator ( pc ) 349.99	0
73	adobe indesign cs3 upgrade from pagemaker adobe 199.0	adobe dreamweaver cs3 upgrade windows 236.74	0
74	microsoft powerpoint 2004 ( mac ) microsoft 229.99	microsoft ( r ) office ultimate 2007 539.95	0
75	microspot macdraft professional ( mac ) microspot ltd. 349.99	adobe acrobat v8 .0 professional for mac 405.99	0
76	adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ) adobe systems inc	adobe photoshop cs3 extended complete package 1 user academic cd mac 279.0	0
77	snap ! spelling ( jewel case ) topics entertainment 19.95	spelling 4.93	1
78	netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ) netmanage	bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year 4746.16	0
79	zonealarm internet security suite zone labs 49.99	panda software panda internet security 2007 69.99	0
80	mediafour macdrive 6 for windows mediafour corporation 49.99	quark quarkxpress 7 upgrade for mac & windows 244.99	0
81	microsoft office student and teacher edition 2004 macintosh microsoft 149.99	microsoft ( r ) office 2004 for mac student and teacher edition 146.95	0
82	microsoft visio standard 2007 version upgrade microsoft 129.95	microsoft office visio standard 2007 upgrade ( pc ) 129.95	1
83	quicken 2007 premier intuit 79.95	quickbooks pro 2007 3 user intuit 398.99	0
84	microsoft office 2004 standard upgrade ( mac ) microsoft 239.99	microsoft ( r ) word 2007 109.99	0
85	peachtree by sage premium accounting 2007 sage software 499.99	laser checks for peachtree ( r ) accounting for windows 8.0-2005 106.29	0
86	adobe dreamweaver cs3 upgrade adobe 199.0	adobe cs3 flash professional upgrade 205.99	0
87	national geographic presents : redshift 5 planetarium software topics entertainment 39.99	redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ) 39.99	1
88	the print shop 22 deluxe encore 49.99	encore software 11941 the print shop zoom 17.97	0
89	panda antivirus 2007 panda software 29.95	norton antivirus 2007 3 user pack 49.95	0
90	adobe creative suite cs3 production premium upgrade adobe 799.0	adobe acrobat v8 .0 professional for mac upgrade 145.99	0
91	power production storyboard artist 4 power production	power production storyboard quick 5 software for mac and windows animation software 299.0	0
92	adobe cs3 design standard macosx dvd adobe 399.0	adobe cs3 web standard 1035.99	0
93	peachtree by sage premium accounting 2007 sage software 499.99	peachtree ( r ) compatible continuous checks-office accounting 12.0 91.59	0
94	adobe after effects cs3 upgrade adobe 299.0	adobe contribute cs3 upgrade 82.99	0
95	symc backup exec sbs aws 11d win sbs agent for windows systems symantec 447.74	10759328 symantec backup exec 11d for windows servers agent for db2 on windows servers - 644.84	0
96	station access collection sony-creative-software 29.99	ultimate puzzle collection 9.95	0
97	microsoft powerpoint 2004 upgrade ( mac ) microsoft 109.99	microsoft windows vista home basic upgrade ( pc ) 99.99	0
98	microsoft office 2004 standard ( mac ) microsoft 399.99	microsoft word 2007 upgrade ( pc ) 109.95	0
99	instant immersion spanish ( audio book ) topics entertainment	instant immers italian dlux 2 . 36.11	0
100	rollercoaster tycoon 3 ( mac ) aspyr media 49.99	roller coaster tycoon 3 for pc 29.99	0
101	peachtree by sage complete accounting 2007 sage software 269.99	sage ( ptree ) premium accounting for manufacturing 2007 multi-user 1180.37	0
102	recam remote monitoring software mobi-technologies-inc . 129.0	corel ulead dvd workshop 2 authoring software 299.95	0
103	quickbooks premier professional services edition 2007 intuit 399.95	adobe production premium cs3 software suite for windows professional editing software 1698.95	0
104	logic pro 6 upgrade from logic platinum/gold 5 & 6 apple 199.99	apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update apple software 149.0	1
105	britannica deluxe avanquest software 29.95	britannica deluxe 2008 26.5	0
106	tlc arthur 's kindergarten learning system 2008 encore 19.99	encore software 13871 tlc reader rabbit 1st grade learning system 2008 17.97	0
107	tonka town ( jewel case ) atari 9.99	geometry ( win/mac ) ( jewel case ) ( 10158 ) 9.59	0
108	punch 5 in 1 home design punch ! software 39.99	punch software 41100 punch ! home design architectural series 18 punch software 118.99	0
109	adobe creative suite cs3 web premium upsell [ mac ] adobe 1399.0	adobe cs3 master collection upsell from cs1 2054.99	0
110	illustrator cs3 13 mac ed 1u adobe-education-box 199.0	adobe illustrator cs3 ( mac ) 599.0	0
111	microsoft windows vista business full version [ dvd ] microsoft 299.95	microsoft windows vista business ( pc ) 299.99	1
112	instant play guitar deluxe v2 . topics entertainment 39.48	instant immersion spanish deluxe 2.0 topics 39.99	0
113	microsoft windows terminal server 2003 client additional license for users - 5 user microsoft 669.0	microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ) microsoft 688.99	0
114	adventure workshop 4th-6th grade 7th edition encore software 19.99	encore software 10590 adventure workshop preschool 1st grade 7th ed sb cs by riverdeep 17.97	0
115	jumpstart advanced preschool v2 .0 knowledge adventure 19.99	jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure 19.99	0
116	aquarium 3-in-one collection ( win/mac ) encore software 19.99	aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ) 19.95	1
117	hoyle casino ( 2007 ) encore 19.99	hoyle ( r ) card games 2007 19.99	0
118	mcafee total protection 2007 3 users mcafee 99.99	mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi 86.94	0
119	microsoft visio standard 2007 microsoft 259.95	microsoft windows vista business full version 249.95	0
120	adobe premiere pro cs3 upgrade adobe 299.0	premiere pro cs3 mac 808.15	0
121	procurve vpn client software unlimited client licenses hewlett packard	sr2116010 safenet softremote vpn client license 5 users win 184.57	0
122	adobe illustrator cs3 [ mac ] adobe 599.0	adobe indesign cs3 for mac upgrade 205.99	0
123	punch ! home design architectural series 18 punch ! software 129.99	punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc 45.97	0
124	microsoft office 2004 professional ( mac ) microsoft 499.99	web easy ( r ) professional 6 49.99	0
125	microsoft onenote 2007 upgrade microsoft 79.95	microsoft ( r ) office 2004 for mac standard edition upgrade version 234.95	0
126	adobe creative suite cs3 web premium upsell [ mac ] adobe 1399.0	adobe cs3 production premium upgrade 822.99	0
127	adobe after effects 7.0 professional ( mac ) adobe 999.0	adobe after effects cs3 professional software for windows effects software 998.95	0
128	microsoft powerpoint 2004 upgrade ( mac ) microsoft 109.99	microsoft ( r ) access 2007 109.99	0
129	computrace lojack for laptops 3 year license ( mac ) absolute software 99.95	absolute software lfl-n2-36 computrace lojack for laptops 3 year license ( win 2000 xp ) 85.97	0
130	punch ! 5 in 1 home design punch ! software 39.99	punch software 84100 punch ! home design architectural series 4000 v. 10.0 architectural pc 168.97	0
131	family tree maker version 16 essentials encore 29.95	encore inc family tree maker 2008 platinum 85.07	0
132	high school advantage 2007 encore software 29.95	encore inc math advantage 2008 33.89	0
133	adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ) adobe systems inc	adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software 149.95	0
134	adobe indesign cs3 upgrade [ mac ] adobe 199.0	adobe photoshop cs3 for mac upgrade 189.99	0
135	turbocad mac 3d for mac imsi 249.99	imsi design llc turbocad mac 3d 204.67	1
136	microsoft windows xp professional upgrade with sp2 microsoft software 199.99	adobe after effects professional 7 software for windows effects software 999.0	0
137	quicken 2007 premier intuit 79.95	intuit inc quickbooks premier edition 2007 5 user 1309.31	0
138	microsoft office & windows training professional topics entertainment 49.95	microsoft office 2004 software suite oem mac apple & mac software 239.95	0
139	quickbooks premier professional services edition 2007 intuit 399.95	intuit quickbooks premier professional services edition 2007 software win tax & finance software 349.95	1
140	adobe creative suite cs3 design premium upsell [ mac ] adobe 1599.0	29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra 1687.48	0
141	adobe illustrator cs3 upgrade [ mac ] adobe 199.0	adobe contribute cs3 upgrade 82.99	0
142	microsoft office frontpage 2003 academic version windows ) microsoft 159.98	microsoft w87-02380 office sbe 2007 win32 400.34	0
143	microsoft visual studio test agent 2005 cd 1 processor license microsoft software 5099.0	f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe 757.74	0
144	microsoft onenote 2007 microsoft 99.95	microsoft money 2007 home and business ( pc ) 89.99	0
145	peachtree by sage complete accounting 2007 sage software 269.99	peachtree ( r ) complete iii for dos 5.0-10 .0 continuous checks 144.59	0
146	math missions : the amazing arcade adventure grades 3-5 scholastic 19.99	math missions : the race to spectacle city arcade ( grades k-2 ) 8.49	0
147	acrobat professional 8 ( windows ) adobe 273.0	adobe acrobat v8 .0 professional for mac upgrade 145.99	0
148	valuesoft tune transfer for ipod software for windows xp valuesoft 29.95	adobe captivate 2 software for windows presentation software 598.95	0
149	math missions : the race to spectacle city arcade ( grades k-2 ) scholastic 29.95	math missions : the amazing arcade adventure ( grades 3-5 ) 12.95	0
150	microsoft visio standard 2007 version upgrade microsoft 129.95	f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe 757.74	0
151	national geographic photo gallery ( jewel case ) topics entertainment 9.99	merriam-webster 's dictionary ( win/mac ) ( jewel case ) ( 10462 ) 9.59	0
152	peachtree by sage premium accounting for nonprofits 2007 sage software 599.99	peachtree ( r ) compatible continuous forms-accounting for windows 8.0-2004 version 199.99	0
153	usa/world extreme landscapes bundle abacus 39.95	abacus usa/world extreme landscapes bundle 38.43	1
154	sony sound forge audio studio 8 sony-pictures-digital-entertainment 69.99	sony creative software sound forge audio studio v. 8.0 complete product 55.29	0
155	upgrade emc retrospect 7.5 multi server windows only dantz	retrospect 7.5 prof win upg only pz24a0075 emc 54.68	0
