idx	text_left	text_right	label
0	web caching for database applications with oracle web cache jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu sigmod conference 2002.0	form-based proxy caching for database-backed web sites very large data bases qiong luo , jeffrey f. naughton 2001.0	0
1	oracle industrial exhibit 1998 amy pogue vldb	objectivity industrial exhibit objectivity very large data bases 1998.0	0
2	extracting large-scale knowledge bases from the web andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan vldb 1999.0	amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ) 1994.0	0
3	efficient optimistic concurrency control using loosely synchronized clocks sigmod conference barbara liskov , atul adya , robert gruber , umesh maheshwari 1995.0	efficient optimistic concurrency control using loosely synchronized clocks atul adya , robert gruber , barbara liskov , umesh maheshwari international conference on management of data 1995.0	1
4	odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb 1994.0	unisql/x unified relational and object-oriented database system won kim 1994 international conference on management of data	0
5	emergent semantics and the multimedia semantic web 2002 william i. grosky , farshad fotouhi , d. v. sreenath sigmod record	emergent semantics and the multimedia semantic web w. i. grosky , d. v. sreenath , f. fotouhi acm sigmod record 2002.0	1
6	dwms : data warehouse management system narendra mohan vldb 1996.0	strudel : a web site management system 1997 mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu international conference on management of data	0
7	data mining techniques sigmod conference jiawei han 1996.0	data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf &#225; s mat &#237; n acm sigmod record 2002.0	0
8	qursed : querying and reporting semistructured data yannis papakonstantinou , michalis petropoulos , vasilis vassalos sigmod conference 2002	extracting schema from semistructured data svetlozar nestorov , serge abiteboul , rajeev motwani 1998 international conference on management of data	0
9	advances in databases and information systems ( adbis ) 2002 albertas caplinskas , johann eder , olegas vasilecas sigmod record	amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record 2002.0	0
10	query unnesting in object-oriented databases leonidas fegaras 1998 sigmod conference	calibrating the query optimizer cost model of iro-db , an object-oriented federated database system georges gardarin , fei sha , zhao-hui tang very large data bases 1996.0	0
11	data management for pervasive computing mitch cherniack , stanley b. zdonik , michael j. franklin vldb 2001.0	data management for pervasive computing mitch cherniack , michael j. franklin , stanley b. zdonik very large data bases 2001	1
12	secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference 1997.0	databases and transaction processing : an application-oriented approach philip m. lewis , arthur bernstein , michael kifer acm sigmod record 2002.0	0
13	declarative updates of relational databases weidong chen acm trans . database syst . 1995.0	enhanced abstract data types in object-relational databases praveen seshadri the vldb journal -- the international journal on very large data bases 1998.0	0
14	a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier acm trans . database syst . 1994.0	a taxonomy for secure object-oriented databases martin s. olivier , sebastiaan h. von solms acm transactions on database systems ( tods ) 1994.0	1
15	what is the data warehousing problem ? ( are materialized views the answer ? ) inderpal singh mumick , ashish gupta vldb 1996	algorithms for materialized view design in data warehousing environment jian yang , kamalakar karlapalem , qing li 1997 very large data bases	0
16	enterprise objects framework , a second generation object-relational enabler charly kleissner sigmod conference 1995	enterprise objects framework : a second generation object-relational enabler charly kleissner international conference on management of data 1995	1
17	effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000	priority assignment in real-time active databases rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham the vldb journal -- the international journal on very large data bases 1996.0	0
18	lambda-db : an odmg-based object-oriented dbms 2000 arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan sigmod conference	odmg-93 : a standard for object-oriented dbmss r. g. g. cattell international conference on management of data 1994.0	0
19	compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek r. narasayya sigmod conference 2002.0	compressing sql workloads international conference on management of data surajit chaudhuri , ashish kumar gupta , vivek narasayya 2002.0	1
20	the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali sigmod conference 1995.0	the trigs active object-oriented database system - an overview g. kappel , w. retschitzegger acm sigmod record 1998.0	0
21	on wrapping query languages and efficient xml integration sigmod conference jérôme siméon , vassilis christophides , sophie cluet 2000.0	on wrapping query languages and efficient xml integration vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on 2000 international conference on management of data	1
22	document management as a database problem rudolf bayer 1995 vldb	is web-site management a database problem ? daniela florescu , alon y. levy , dan suciu very large data bases 1998	0
23	index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan vldb j. 1996.0	converting relational to object-oriented databases 1997 joseph fong acm sigmod record	0
24	controlling data warehouses with knowledge networks jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer vldb 2000.0	controlling data warehouses with knowledge networks very large data bases 2000 elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke	1
25	temporal database system implementations michael h. böhlen 1995 sigmod record	temporal conditions and integrity constraints in active database systems international conference on management of data a. prasad sistla , ouri wolfson 1995.0	0
26	ansi sql hierarchical processing can fully integrate native xml sigmod record michael m. david 2003.0	ansi sql hierarchical processing can fully integrate native xml acm sigmod record 2003 michael m. david	1
27	warping indexes with envelope transforms for query by humming dennis shasha , yunyue zhu sigmod conference 2003.0	warping indexes with envelope transforms for query by humming yunyue zhu , dennis shasha international conference on management of data 2003.0	1
28	reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross 2002 sigmod record	influential papers ken ross acm sigmod record 2002.0	0
29	database research at ut arlington sigmod record 2003 sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh	database research at arizona state university susan d. urban , suzanne w. dietrich , forouzan golshani acm sigmod record 1996.0	0
30	lore : a database management system for semistructured data sigmod record roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh 1997.0	dwms : data warehouse management system narendra mohan very large data bases 1996	0
31	discover : keyword search in relational databases 2002 vagelis hristidis , yannis papakonstantinou vldb	converting relational to object-oriented databases 1997 joseph fong acm sigmod record	0
32	incremental computation and maintenance of temporal aggregates jun yang , jennifer widom vldb j. 2003.0	incremental maintenance of recursive views using relational calculus/sql guozhu dong , jianwen su acm sigmod record 2000.0	0
33	procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi 1995 vldb	an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994	0
34	opossum : desk-top schema management through customizable visualization vldb 1995 miron livny , eben m. haber , yannis e. ioannidis	opossum : desk-top schema management through customizable visualization very large data bases eben m. haber , yannis e. ioannidis , miron livny 1995.0	1
35	dms : a parallel data mining server felicity a. w. george vldb 1998.0	scalable parallel data mining for association rules eui-hong han , george karypis , vipin kumar international conference on management of data 1997.0	0
36	naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet vldb 1994.0	naos - efficient and modular reactive capabilities in an object-oriented database system 1994 christine collet , thierry coupaye , t. svensen very large data bases	1
37	user-adaptive exploration of multidimensional data 2000 sunita sarawagi vldb	a foundation for multi-dimensional databases marc gyssens , laks v. s. lakshmanan very large data bases 1997.0	0
38	a query language for multidimensional arrays : design , implementation , and optimization techniques sigmod conference limsoon wong , rona machlin , leonid libkin 1996.0	a query language for multidimensional arrays : design , implementation , and optimization techniques 1996 leonid libkin , rona machlin , limsoon wong international conference on management of data	1
39	comprehension syntax limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin sigmod record 1994.0	comprehension syntax peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong acm sigmod record 1994.0	1
40	buffering accesses to memory-resident index structures 2003 jingren zhou , kenneth a. ross vldb	efficient index structures for string databases tamer kahveci , ambuj k. singh 2001 very large data bases	0
41	secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference 1997.0	revisiting commit processing in distributed database systems 1997 ramesh gupta , jayant haritsa , krithi ramamritham international conference on management of data	0
42	semint : a system prototype for semantic integration in heterogeneous databases wen-syan li , chris clifton sigmod conference 1995.0	a scalable architecture for autonomous heterogeneous database interactions very large data bases steven milliner , athman bouguettaya , mike p. papazoglou 1995.0	0
43	mining system audit data : opportunities and challenges wei fan , wenke lee 2001 sigmod record	amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record 2002.0	0
