idx	text_left	text_right	label
0	the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994 d barbarс , h garcia-molina	local verification of global integrity constraints in distributed databases a gupta , j widom	0
1	on-demand data elevation in hierarchical multimedia storage servers vldb p triantafillou , t papadakis 1997.0	on-demand data elevation in a hierarchical multimedia storage server proc . of 23rd intl. conf . on very large data bases , vldb , p triantallou , t papadakis 1997.0	1
2	database tuning : principles , experiments , and troubleshooting techniques d shasha , p bonnet vldb 2002	database tuning : principles , experiments , and troubleshooting techniques ( part i ) 2002.0 d shasha , p bonnet proceedings of the 2002 acm sigmod international conference & hellip ; ,	1
3	dna-miner : a system prototype for mining dna sequences sigmod conference 2001 j han , h jamil , y lu , l chen , y liao , j pei	n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ?? j han , k koperski proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97	0
4	communication efficient distributed mining of association rules sigmod conference 2001 a schuster , r wolff	mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,	0
5	global transaction support for workflow management systems : from formal specification to practical implementation p grefen , j vonk , p apers vldb j. 2001	distributed transaction support for workflow management applications j vonk , p grefen , e boertjes , p apers procs . 10th int . conf . on database and expert system & hellip ; ,	0
6	the x-tree : an index structure for high-dimensional data s berchtold , d keim , h kriegel vldb 1996	the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549 ki lin , hv jagadish , c faloutsos 1994.0	0
7	an extensible compressor for xml data sigmod record h liefke , d suciu 2000.0	xmill : an efficient compressor for xml data l hartmut , d suciu	0
8	database systems management and oracle8 sigmod conference c doherty 1998.0	the cedar database management system m brownâ ? ¦ proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,	0
9	a critique of ansi sql isolation levels sigmod conference h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil 1995.0	a critique of ansi sql isolation levels 1995.0 h berenson , p bernstein , j gray , j melton proceedings of the acm sigmod international conference on & hellip ; ,	1
10	online association rule mining sigmod conference 1999 c hidber	mining fuzzy association rules in database mk chan , f ada , hw man sigmod record ,	0
11	mixed mode xml query processing vldb a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt 2003.0	a transducer-based xml query processor , p mukhopadhyay , y papakonstantinou vldb , 2002.0	0
12	dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999	dynamat : a dynamic viewmanagement system fordata warehouses ykn roussopoulos proc . of the acm sigmod	1
13	mining generalized association rules vldb r srikant , r agrawal 1995.0	mining association rules from semi-structured data k maruyama , k uehara icdcs workshop of knowledge discovery and data mining in the & hellip ; , 2000.0	0
14	fast algorithms for mining association rules in large databases 1994 r agrawal , r srikant vldb	data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms , t fukuda , y morimoto , s morishita , t tokuyama proceedings of the acm sigmod international conference on	0
15	on the issue of valid time ( s ) in temporal databases s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos 1995 sigmod record	temporal databases rt snodgrass	0
16	data management issues in electronic commerce ( panel ) m жzsu sigmod conference 1999.0	special section on data management issues in e-commerce a dogac acm sigmod record ,	0
17	storage and retrieval of xml data using relational databases 2001.0	storage and retrieval of xml data using relational databases s chaudhuri , k shim data engineering , 2003 . proceedings . 19th international & hellip ; , 2003.0	1
18	banks : browsing and keyword searching in relational databases b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan vldb 2002.0	distance browsing in spatial databases 1999.0 gr hjaltason , h samet acm transactions on database systems ,	0
19	answering queries using views : a survey a halevy 2001 vldb j.	a scalable algorithm for answering queries using views ay levy	0
20	path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst . 2003 y diao , m altinel , m franklin , h zhang , p fischer	yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering y diao , m altinel , mj franklin , h zhang , p fischer acm transactions on database systems ( tods )	1
21	tavant system architecture for sell-side channel management s narayanan , s subramanian 2001 vldb	a control system architecture for intelligent systems j albus procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,	0
22	mining generalized association rules vldb r srikant , r agrawal 1995.0	a new sql-like operator for mining association rules s ceri , r meo , g psaila proc . of the 22nd intâ ?? l conference on very large data	0
23	a raster approximation for processing of spatial joins g zimbrao , j souza vldb 1998.0	a raster approximation for processing of spatial joins g zimbrao vldb , 1998.0	1
24	ariadne : a system for constructing mediators for internet sources sigmod conference j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada 1998.0	. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system jl ambite , n ashish , g barish proc . of a cm sigmod conf . on management of	1
25	asserting beliefs in mls relational models n jukic , s vrbsky sigmod record 1997	learning probabilistic relational models l getoorâ ? ¦ lecture notes in computer science , 2000.0	0
26	exploiting main memory dbms features to improve real-time concurrency control protocols sigmod record 1996 ж ulusoy , a buchmann	index concurrency control in firm real-time dbms b goyal , j haritsa , s seshadri , v srinivasan proceedings of the international conference on very large & hellip ; , 1995.0	0
27	hierarchical compact cube for range-max queries s lee , t ling , h li vldb 2000.0	hierarchical prefix cubes for range-sum queries cy chan , ye ioannidis proceedings of the 25th international conference on very & hellip ; , 1999.0	0
28	an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe vldb 1995.0	parallel algorithm for mining outliers in large database e hung	0
29	client-server paradise d dewitt , n kabra , j luo , j patel , j yu vldb 1994.0	and j. yu . client-server paradise proceedings ofthe twentieth international conference on vey & hellip ; , dj dewitt , n kabra , j luo , jm pate	1
30	mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record 1998.0	mining association rules between sets of items in large databases . 1993 proc . acm sigmod international conference on management of r agrawal , t imielinski , a swami	0
31	view maintenance in a warehousing environment y zhuge , h garcia-molina , j hammer , j widom sigmod conference 1995.0	incremental cluster for mining in a data warehousing environment m ester , h kriegel , j sander , m wimmer , x xu proc . of 24 thintâ ?? l conf . of vldb ,	0
32	re-tree : an efficient index structure for regular expressions c chan , m garofalakis , r rastogi vldb j. 2003.0	the tv-tree : an index structure forhigh-dimensional data ki lin , h jagadish , c faloutsos the vldb journal ,	0
33	picodmbs : scaling down database techniques for the smartcard vldb c bobineau , l bouganim , p pucheral , p valduriez 2000.0	database techniques for the world-wide web : a survey d florescu , a levy , a mendelzon 1998.0 sigmod record ,	0
34	open object database management systems 1994.0	case for output management systems . 1981.0 k schwaber computerworld. ,	0
35	query processing in spatial network databases d papadias , j zhang , n mamoulis , y tao vldb 2003.0	redundancy in spatial databases ja orenstein	0
36	dual-buffering strategies in object bases a kemper , d kossmann vldb 1994.0	dual-buffering strategies in object bases 1994.0 a kemper , d kossmann vldb ,	1
37	streaming queries over streaming data 2002 s chandrasekaran , m franklin vldb	processing complex aggregate queries over data streams sigmod conference , a dobra , mn garofalakis , j gehrke , r rastogi 2002.0	0
38	algorithms for mining association rules for binary segmentations of huge categorical databases 1998 y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda vldb	algorithms for mining association rules in bag databases py hsu , yl chen , cc ling information sciencesâ ?? informatics and computer science : an & hellip ; , 2004.0	0
39	the a-tree : an index structure for high-dimensional spaces using relative approximation y sakurai , m yoshikawa , s uemura , h kojima vldb 2000	the ssã · - tree : an improved index structure for similarity searches in a high-dimensional feature r kurniawati , js jin , ja shepherd	0
40	foreword : management of semistructured data 1997.0	lore : a database management system for semistructued data j mchugh , s abiteboul , r goldmanâ ? ¦ acm sigmod ,	0
41	optimizing queries with universal quantification in object-oriented and object-relational databases j clauпen , a kemper , g moerkotte , k peithner vldb 1997.0	maximal objects and the semantics of universal relation databases d maier , jd ullman acm transactions on database systems , 1983.0	0
42	index nesting - an efficient approach to indexing in object-oriented databases b ooi , j han , h lu , k tan vldb j. 1996.0	spatial query processing in an object-oriented database system ja orenstein proceedings of the 1986 acm sigmod international conference	0
43	an efficient method for performing record deletions and updates using index scans vldb c mohan 2002.0	an efficient indexing method for partitioned data ibm research report , ibm almaden research center , january , d choy , c mohan	0
44	keynote address 1995.0	keynote address t bailey women in aviation international conference , reno , nv , march ,	0
45	extraction of object-oriented structures from existing relational databases s ramanathan , j hodges sigmod record 1997.0	cost-based selection of path expression processing algorithms in object-oriented databases g gardarin , jr gruser , zh tang proceedings of the international conference on very large & hellip ; , 1996.0	0
46	join index hierarchies for supporting efficient navigations in object-oriented databases z xie , j han 1994 vldb	support for polylingual persistence , interoperability and naming in object-oriented databases technical report tr-96-4 , university of massachusetts , computer a kaplan , jcp wileden	0
47	semantics for update rule programs and implementations in a relational database management system l raschid , j lobo 1996 acm trans . database syst .	performance analysis of a relational data base management system p hawthorn , m stonebraker proceedings of the 1979 acm sigmod international conference	0
48	meaningful change detection in structured data s chawathe , h garcia-molina 1997 sigmod conference	j. widom change detection in hierarchically structured information s chawathe , a rajaraman , h garcia-molina proc . of the acm sigmod int . conf . on management of	0
49	editorial 2001	eic editorial ieee transactions on knowledge and data engineering , 2004.0 ps yu	0
50	data management research at the mitre corporation a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty sigmod record 1995.0	the management transition l goff computerworld ,	0
51	energy and rate based mac protocol for wireless sensor networks r kannan , r kalidindi , s iyengar , v kumar 2003 sigmod record	implementation and research issues in query processing for wireless sensor networks w hong , s madden	0
52	dwms : data warehouse management system n mohan 1996 vldb	the active database management systems manifesto kr dittrich , s gatziu , a geppert sigmod record ,	0
53	information management for genome level bioinformatics 2001.0	implementing information management strategies . new directions for higher education , cet rohm 1986.0	0
54	recovering information from summary data c faloutsos , h jagadish , n sidiropoulos 1997 vldb	recovering information from summary data hv jagadish , nd sidiropoulost	1
55	efficiently mining long patterns from databases sigmod conference r jr. 1998.0	efficient timestamping in databases vldb journal , to k torp , cs jensen , rt snodgrass	0
56	editor 's notes l liu sigmod record 2003.0	editors ' notes r picciotto , rc rist 1995.0 new directions for program evaluation ,	0
57	a performance study of transitive closure algorithms s dar , r ramakrishnan 1994 sigmod conference	a performance study of transitive closure algorithms sigmod conference , s dar , r ramakrishnan 1994.0	1
58	aurora : a data stream management system sigmod conference d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik 2003.0	bayan : an arabic text database management system r king , a morfeq 1990.0 proceedings of the 1990 acm sigmod international conference & hellip ; ,	0
59	chair 's message 1998	sigcas chair 's message computers and society , cd martin	0
60	database techniques for the world-wide web : a survey 1998 d florescu , a levy , a mendelzon sigmod record	mendelzon . database techniques for the world-w ide-wide : a survey d florescu , a levy sigmod record ,	1
61	guest editorial 2000.0	guest editor 's introduction 2003.0 k aberer acm sigmod record ,	0
62	special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction 2001.0	guest editors ' introduction : special section on mining and searching the web 2004.0 b liu , s chakrabarti ieee transactions on knowledge and data engineering ,	0
63	editorial 2001	guest editorial c allocchio computer networks , 2000.0	0
64	birch : an efficient data clustering method for very large databases t zhang , r ramakrishnan , m livny sigmod conference 1996	efficient and effective clustering methods for spatial data mining tn raymond , j han proc . of vldb conf ,	0
65	infomaster : an information integration system m genesereth , a keller , o duschka sigmod conference 1997	peersdi : a peer-to-peer information dissemination system k zhao , s zhou , l xu , w cai , a zhou	0
66	editor 's notes sigmod record 2002 l liu	editor 's notes r goldstein the american statistician , 1996.0	0
67	olap , relational , and multidimensional database systems g colliat sigmod record 1996	management of multidimensional discrete data in database systems pasb furtado	0
68	efficient filtering of xml documents for selective dissemination of information m altinel , m franklin vldb 2000.0	xfilter : efficient filtering of xml documents for selective dissemination of information proceedings of the 26th vldb conference , egypt m altinel , m franklin	1
69	optimizing queries across diverse data sources vldb 1997 l haas , d kossmann , e wimmers , j yang	optimizing existential queries r ramakrishnan , c beeri , r krishnamurthy & hellip ; . sigact-sigmod principles of database systems conference ( & hellip ; ,	0
70	groupwise processing of relational queries vldb 1997 d chatziantoniou , k ross	on line processing of compacted relations f bancilhon , p richard , m scholl vldb , 1982.0	0
71	a data model and data structures for moving objects databases l forlizzi , r gќting , e nardelli , m schneider sigmod conference 2000.0	1548 classic : a structural data model for objects . 1549 in proceedings of the 1989 acm sigmod international conference a borgida , rj brachman , dl mcguinness , la resnick	0
72	procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995 vldb	semantics and implementation of schema evolution in object-oriented languages j banerjee , w kim , hj kim , hk forth proceedings of the acm sigmod annual	0
73	one-dimensional and multi-dimensional substring selectivity estimation h jagadish , o kapitskaia , r ng , d srivastava vldb j. 2000.0	one-dimensional and multi-dimensional substring selectivity estimation hv jagadish , o kapitskaia , rt ng , d srivastava 2000.0 the vldb journal the international journal on very large & hellip ; ,	1
74	secure transaction processing in firm real-time database systems b george , j haritsa sigmod conference 1997.0	data abstraction and transaction processing in the database programming language rapp 1990.0 jg hughes , m connolly acm press frontier series ,	0
